"","Species","Population","Study.Site","Mom","ID","f.ind","Mi","RGR23","RGR29","RGR11","RGR17","RGR35","expt","Pupated","Time.to.Pupation","Pupa.wt","Eclosed","Time.to.Eclosion","Sex","Butt..Wt","Fecundity","period","uid"
"80","Pieris_rapae","Seattle_WA","Study.Site",22,4,"22_4_june",39.99,0.0194571371897779,0.0267922654666189,0.00439211031863169,-0.000135876454040176,-0.00487210465981191,"june",1,9,165.65,1,18,"M",87.26,NA,"recent","22_4_june"
"81","Pieris_rapae","Seattle_WA","Study.Site",22,5,"22_5_june",37.75,0.0195332128622964,0.0287928929985103,0.00212143386292541,0.00908146944785111,0.0264356309328986,"june",1,11,155.02,1,20,"M",82.13,NA,"recent","22_5_june"
"82","Pieris_rapae","Seattle_WA","Study.Site",17,24,"17_24_june",42.99,0.024497560356412,0.0407780342309354,0.00370603013733302,0.00836428505081247,0.0209860101810749,"june",1,10,160.74,1,19,"F",77.95,NA,"recent","17_24_june"
"83","Pieris_rapae","Seattle_WA","Study.Site",17,25,"17_25_june",40.24,0.0216072621006733,0.0258559714215732,0.00559185472464648,-0.0017507886841474,0.0212053783500794,"june",1,9,187.32,1,18,"M",126.3,NA,"recent","17_25_june"
"84","Pieris_rapae","Seattle_WA","Study.Site",17,26,"17_26_june",42.18,0.0061536867623004,0.0304605885524508,0.00501636596473509,0.00497192113398786,0.0190323173636293,"june",1,10,160.36,1,18,"F",117.11,NA,"recent","17_26_june"
"85","Pieris_rapae","Seattle_WA","Study.Site",17,27,"17_27_june",27.04,0.0139281849063153,0.0286791320248147,0.00293625462037809,0.0111515922920682,0.0271422046964624,"june",1,10,137.59,1,19,"F",66.38,NA,"recent","17_27_june"
"86","Pieris_rapae","Seattle_WA","Study.Site",17,28,"17_28_june",31.21,0.0212122224964389,0.0128159570101864,0.00407757959089989,-0.00249950877900655,0.0286102302466753,"june",1,10,147.47,1,19,"F",61.52,NA,"recent","17_28_june"
"87","Pieris_rapae","Seattle_WA","Study.Site",17,29,"17_29_june",NA,NA,NA,NA,NA,NA,"june",0,NA,NA,0,NA,NA,NA,NA,"recent","17_29_june"
"88","Pieris_rapae","Seattle_WA","Study.Site",18,12,"18_12_june",50.49,0.0249239609130668,0.0254196340990036,0.00571062603973856,0.00964350746795572,0.0345794403401062,"june",1,10,172.54,1,18,"F",107.06,NA,"recent","18_12_june"
"89","Pieris_rapae","Seattle_WA","Study.Site",18,13,"18_13_june",56.31,0.0359538649574484,0.0224499529687383,0.00461192984704289,0.00885347186564824,0.029531397290139,"june",1,10,222.49,1,19,"M",99.55,NA,"recent","18_13_june"
"90","Pieris_rapae","Seattle_WA","Study.Site",18,14,"18_14_june",47.43,0.0226431335511909,0.0212468507141469,0.00680196209785605,-0.00290490749203635,0.0285251384989106,"june",1,10,217.54,1,19,"M",97.32,NA,"recent","18_14_june"
"91","Pieris_rapae","Seattle_WA","Study.Site",18,15,"18_15_june",53.85,0.0378022851465845,0.0267001430104564,0.00337093535702575,-5.83688276091852e-05,0.00821035952911436,"june",1,9,237.41,1,18,"M",138.18,NA,"recent","18_15_june"
"92","Pieris_rapae","Seattle_WA","Study.Site",18,16,"18_16_june",39.81,0.0256665313448542,0.0270788706784939,0.0021810764148441,0.0102709581777841,0.0274983388927961,"june",1,10,185.05,1,19,"F",74.83,NA,"recent","18_16_june"
